epsilon,rho,alfa,Eta.re,Eta.ce,Gamma.re,Gamma.ce,Nu.re,Nu.ce,k.re,k.ce,labor.growth_N,labor.growth_S,lambda.S,sigma.utility,Yre.0_N,Yce.0_N,Yre.0_S,Yce.0_S,size.factor,TimeStep,EndTime,Climate.Model,Beta.Delta.Temp,CO2.base,CO2.Disaster,Delta.Temp.Disaster,qsi,Delta.S,S.0,Future.ID,policy.name,Run.ID
3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,1,FWA,1
3.5,0.001,0.33,0.02,0.03,0.5,0.25,0.02,0.02,0,0,0,0,0.1443,2,40.995666,197.755074,25.039494,260.328506,4,5,300,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,1,Nordhaus+TechnologyPolicy.Both,3001
4,0.001,0.33,0.02,0.04,0.55,0.3,0.02,0.02,0,0,0,0,0.1443,2,36.440592,202.310148,22.257328,263.110672,4,5,300,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,2,Nordhaus+TechnologyPolicy.Both,3002
4.5,0.001,0.33,0.02,0.05,0.6,0.35,0.02,0.02,0,0,0,0,0.1443,2,31.885518,206.865222,19.475162,265.892838,4,5,300,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,3,Nordhaus+TechnologyPolicy.Both,3003
