"Run.ID","Future.ID","time","S","Delta.Temp","CO2.Concentration","alfa","epsilon","size.factor","Eta.re","Eta.ce","Gamma.re","Gamma.ce","Nu.re","Nu.ce","k.re","k.ce","lambda.S","sigma.utility","Climate.Model","Beta.Delta.Temp","CO2.base","CO2.Disaster","Delta.Temp.Disaster","qsi","Delta.S","S.0","policy.name","Cost.S.Damage","policy.status","Policy.Duration","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","rho","Region","Ace","Agg.demand.ce.tech","Agg.demand.re.tech","Are","Consumption","Gamma.ce.t","Gamma.re.t","L","Labor.ce","Labor.re","Price.ce","Price.re","Profits.ce","Profits.re","RelLabor","RelPrice","Utility.Consumer","Y","Yce","Yce.0","Yre","Yre.0","labor.growth","sce","sre"
3001,1,2037,868.092581614354,1.97988508141768,430.123418385646,0.33,3.5,4,0.02,0.03,0.5,0.25,0.02,0.02,0,0,0.1443,2,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+TechnologyPolicy.Both",0.990030723884126,1,115,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.831247915337668,0.001,"S",82.7732752377075,153.574492132326,294.298875932417,43.820265512768,81.9006599987386,0.25,0.5,4,1.52156192274314,2.47843807725687,1.14212422154777,1.65762286267838,1.01865960631372,5.20555851749259,1.62887756338476,1.45135076500875,0.963293581049995,376.376049777205,134.463913149663,260.328506,150.911314132309,25.039494,0,0.0149659452409555,0.985034054759044
3001,1,2042,864.56043313201,2.0207530160442,433.655566867989,0.33,3.5,4,0.02,0.03,0.5,0.25,0.02,0.02,0,0,0.1443,2,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+TechnologyPolicy.Both",0.989554205800948,1,115,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.654378285157727,0.001,"N",265.920291256881,114.09460225892,259.017332806085,155.766185886427,270.92532407896,0.25,0.5,1,0.341335574696024,0.658664425303976,1.16560790754434,1.58083734205477,0.756789496783414,3.43612393700553,1.92966826235603,1.35623422921454,0.966840248058743,311.557213807539,97.8842040453293,197.755074,139.270959148145,40.995666,0,0.0642038527835489,0.935796147216451
3001,1,2042,864.56043313201,2.0207530160442,433.655566867989,0.33,3.5,4,0.02,0.03,0.5,0.25,0.02,0.02,0,0,0.1443,2,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+TechnologyPolicy.Both",0.989554205800948,1,115,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.654378285157727,0.001,"S",82.8238149176557,140.923226610179,325.855540391711,49.0501571350997,84.6749799366848,0.25,0.5,4,1.34886891220525,2.65113108779475,1.16835438690911,1.57296034310104,0.934743762105317,5.76373279844859,1.96544754186709,1.346304135736,0.958878096014222,389.532127473245,120.616850665483,260.328506,176.086581297341,25.039494,0,0.00793119272254716,0.992068807277453
3001,1,2047,861.858205123443,2.05179442435492,436.357794876557,0.33,3.5,4,0.02,0.03,0.5,0.25,0.02,0.02,0,0,0.1443,2,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+TechnologyPolicy.Both",0.9891826930712,1,115,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.492963924125253,0.001,"N",266.512559676812,110.367709200758,270.085754132319,163.267461290825,275.491583015556,0.25,0.5,1,0.324667630555249,0.675332369444751,1.17708869544562,1.54919298420936,0.73206901512863,3.58295761431934,2.08007299123043,1.31612255746189,0.962078884774624,316.922965172529,93.7632904196534,197.755074,148.188697826846,40.995666,0,0.0546354025664724,0.945364597433528
3001,1,2047,861.858205123443,2.05179442435492,436.357794876557,0.33,3.5,4,0.02,0.03,0.5,0.25,0.02,0.02,0,0,0.1443,2,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+TechnologyPolicy.Both",0.9891826930712,1,115,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.492963924125253,0.001,"S",82.850903105992,129.781367078218,356.787425186823,54.4065108714689,87.7563794442281,0.25,0.5,4,1.19876378008824,2.80123621991176,1.19630411097252,1.50287517118172,0.86083980782982,6.31085597670453,2.33677081877264,1.256265156491,0.954498531167014,404.012859254575,108.485263811987,260.328506,201.792748475801,25.039494,0,0.0042778565469177,0.995722143453082
3001,1,2052,859.913347158588,2.0740169322324,438.302652841412,0.33,3.5,4,0.02,0.03,0.5,0.25,0.02,0.02,0,0,0.1443,2,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+TechnologyPolicy.Both",0.988911577092428,1,115,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.345603369795611,0.001,"N",267.015821072743,106.606684466245,281.587969054111,171.207168526027,280.390485507628,0.25,0.5,1,0.308150583551908,0.691849416448092,1.1895003655709,1.51842347276862,0.707122138064605,3.73554599747183,2.24516665999287,1.27652207323186,0.957343539184356,322.664883275995,89.6230783544818,197.755074,157.630448941609,40.995666,0,0.0461581710984726,0.953841828901527
3001,1,2052,859.913347158588,2.0740169322324,438.302652841412,0.33,3.5,4,0.02,0.03,0.5,0.25,0.02,0.02,0,0,0.1443,2,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+TechnologyPolicy.Both",0.988911577092428,1,115,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.345603369795611,0.001,"S",82.8656568434431,119.981985952441,387.311855572569,59.8919611081428,91.1319918492705,0.25,0.5,4,1.06841291526365,2.93158708473635,1.225861957285,1.44418843244325,0.795840512822541,6.8507721013676,2.74387087880992,1.17810037570772,0.950147381295091,419.772266739156,97.8756092718412,260.328506,227.958533554879,25.039494,0,0.00234077056393056,0.997659229436069
3001,1,2057,858.661388718984,2.08827006237926,439.554611281016,0.33,3.5,4,0.02,0.03,0.5,0.25,0.02,0.02,0,0,0.1443,2,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+TechnologyPolicy.Both",0.988735401728234,1,115,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.210636451108036,0.001,"N",267.440262281284,102.838456335535,293.536034328571,179.60438784536,285.657437361653,0.25,0.5,1,0.29186939858881,0.70813060141119,1.2028900471775,1.48861974258541,0.682127480873602,3.89404903140282,2.42618994946029,1.23753600429097,0.952634116266085,328.822619394974,85.4928150555727,197.755074,167.608706267692,40.995666,0,0.0387195502550395,0.961280449744961
3001,1,2057,858.661388718984,2.08827006237926,439.554611281016,0.33,3.5,4,0.02,0.03,0.5,0.25,0.02,0.02,0,0,0.1443,2,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+TechnologyPolicy.Both",0.988735401728234,1,115,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.210636451108036,0.001,"S",82.8737889830385,111.344209684129,417.665043981167,65.5157815806827,94.7913937077581,0.25,0.5,4,0.95500754575919,3.04499245424081,1.25696515330012,1.39450229570783,0.738546142834828,7.38765929793888,3.18844858112631,1.10942001219891,0.945818570225266,436.774682555183,88.5817792098678,260.328506,254.582074534192,25.039494,0,0.00129349491530306,0.998706505084697
3001,1,2062,858.045927173272,2.09526201002087,440.170072826728,0.33,3.5,4,0.02,0.03,0.5,0.25,0.02,0.02,0,0,0.1443,2,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+TechnologyPolicy.Both",0.988648320247604,1,115,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.0864876163555145,0.001,"N",267.795601551822,99.0876390952265,305.945293456866,188.478926640736,291.327558320953,0.25,0.5,1,0.27590166779506,0.72409833220494,1.21730484170679,1.45985534229785,0.657248310118638,4.05867026299878,2.62447972131434,1.19925206265587,0.947950462330502,335.435644675876,81.3991990340685,197.755074,178.136485104754,40.995666,0,0.0322510547045707,0.967748945295429
