"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2062,198.756107903817,286.578849760844,56.048911138779,107.938295521119,824.755917139938,1.21111976586804,2.84973030057033,0.740241543712335,1.40550281528311,311.661519344854,4.13450171562883,188.482220428541,0.964850380381546,0.259758456287666,1.16049861862815,92.9604781863418,0.822142469080007,80.1039111069622,0.035149619618454,331.24435234145,1.47026580697346,1.59285947963962,2.45730166582111,1.61063828432951,357.538494884329,2.38736318881154,188.687754170821,0.668183954051276,1.54269833417889,1.0954742174444,190.793804812235,1.6873804097594,174.165490865984,0.331816045948724,457.074873554797,2.45957928173426,0.55,0.55,0.3,0.3,1,4,287.181016810302,99.3403715294604,0.947885143319704,0.941516574388187,473.460082860062,0.983472758792536,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,-1.0869707482782,38.6329136975868,88.7501831277487,3002,140,814.562039732474,1278.22596034711
2067,209.632310089138,287.118143147051,61.6826538200547,109.516993634804,819.939872014627,1.17012393921941,3.15987165088134,0.759607967763108,1.37544286078341,326.60535077102,4.33274658332835,201.836481958434,0.972232958900811,0.240392032236892,1.17546767028881,87.8562735540021,0.777000883311594,74.7415482149469,0.0277670410991886,338.796579820898,1.39236024813049,1.87547029188622,2.60892320421919,1.5465860274121,393.203266319247,2.62550471393221,216.103579398434,0.740666971891317,1.39107679578081,1.11076571561756,178.20744898882,1.57606667885712,160.436576753489,0.259333028108683,473.108511662359,2.51015261893634,0.55,0.55,0.3,0.3,1,4,293.661708931903,102.720471191328,0.943231109771979,0.937134012358024,478.276127985373,0.982648088284836,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,-0.908120253179824,35.7045406499375,81.7939892688164,3002,140,814.562039732474,1278.22596034711
2072,221.184873726249,287.543248757458,68.0994056673161,110.713777115369,816.082590180042,1.12993442246887,3.5091773575916,0.778230058235254,1.34674952913603,342.116273404451,4.53851448298345,215.926440739383,0.978238881577223,0.221769941764746,1.19188291139359,82.8680920799521,0.732885406355096,69.5270410270918,0.0217611184227767,347.046189136442,1.31255447548256,2.23878828023034,2.76497021296016,1.48295790647471,432.110501103669,2.88529688017944,247.67656879166,0.807579259637991,1.23502978703984,1.1298257970813,164.059249899383,1.45094000611015,145.207562372183,0.192420740362009,490.729372135099,2.5502920483043,0.55,0.55,0.3,0.3,1,4,300.76539173519,106.451621562717,0.938603965359313,0.932783215255931,482.133409819958,0.9819736447421,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,-0.711785285802297,32.8199003919254,73.9965956698641,3002,140,814.562039732474,1278.22596034711
2077,233.443483037654,287.875594549948,75.2602809180721,111.580247607111,813.232565255612,1.09067088041425,3.90196960219396,0.796000366964244,1.31951269338638,358.22975756833,4.75227596390147,230.763444307328,0.983078814430143,0.203999633035756,1.20981747755584,78.0363060137301,0.690153090385429,64.5025447734353,0.0169211855698569,356.061227593045,1.23393601712493,2.69455537675775,2.91732574231698,1.42255781603823,473.541693117915,3.1619420641208,282.948386780653,0.863047160349015,1.08267425768302,1.15286189583216,149.379167569587,1.32110935798543,129.572473606443,0.136952839650985,510.472456815388,2.57974405693359,0.55,0.55,0.3,0.3,1,4,308.551853268959,110.65909377163,0.934003466169072,0.928469662412837,484.983434744388,0.981467325753844,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,-0.509175647336242,29.9982859410521,65.886339530559,3002,140,814.562039732474,1278.22596034711
2082,246.440293937093,288.13330891022,83.0879416671383,112.186767814103,811.383588461139,1.05241981649764,4.34308155976025,0.812842085823434,1.29378632424403,374.991847285408,4.97464184608823,246.364538115551,0.986946659285576,0.187157914176566,1.22934432054847,73.3909934240777,0.649069945842543,59.6992983961844,0.0130533407144235,365.906518453655,1.15898731123758,3.25183867856688,3.05923053474168,1.36741258598362,516.809247652805,3.45084904461227,321.254802689191,0.905177240943314,0.940769465258319,1.1798339573912,135.089069270338,1.19472772862687,114.498373626269,0.0948227590566862,532.712912014457,2.59875886559652,0.55,0.55,0.3,0.3,1,4,317.077627100392,115.430296325382,0.929429202196067,0.924193284816773,486.832411538861,0.981135204573658,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,-0.31083522127733,27.2535769892395,57.9369370232688,3002,140,814.562039732474,1278.22596034711
2087,260.210124726412,288.331488796206,91.4993469356727,112.602706160623,810.487166453536,1.01524001648918,4.83792190701133,0.828706170461273,1.26959425800984,392.458243483713,5.20635105805493,262.752847893369,0.990013953000775,0.171293829538727,1.25053606771751,68.9530574021261,0.609820839664404,55.138799417421,0.00998604699922501,376.644362843942,1.08917058518293,3.91811631236201,3.18668047968981,1.31848827658419,561.461160143862,3.7489996877358,361.961493778826,0.935339900571085,0.813319520310193,1.21054341213479,121.803935380004,1.07723400450076,100.619221218348,0.0646600994289146,557.644005602323,2.60795165787769,0.55,0.55,0.3,0.3,1,4,326.396672177474,120.809109174943,0.924880634751987,0.919949595017334,487.728833546463,0.980973151727199,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,-0.124183608627101,24.5948225883867,50.4642812014726,3002,140,814.562039732474,1278.22596034711
2092,274.790592833123,288.482556309403,100.427625692392,112.884960676621,810.470484154249,0.979167752823642,5.39254439634801,0.843567766135298,1.24693567598399,410.693232344681,5.44825642028453,279.957702884315,0.992428286413281,0.156432233864702,1.27346480966942,64.7355351824998,0.572521073154028,50.8341767208349,0.00757171358671938,388.335307571316,1.02502104550428,4.70074496193893,3.29833731789336,1.27587804885799,607.319573585517,4.05520640313669,404.601080808425,0.956227286587874,0.701662682106643,1.24473351493998,109.816984696562,0.971221412656396,88.22529752632,0.0437727134121262,585.324377151425,2.60812257438362,0.55,0.55,0.3,0.3,1,4,336.561114787606,126.807051488627,0.920357138286969,0.915732039013221,487.745515845751,0.98097012954059,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,0.0469686349314564,22.0269226940432,43.6182878650202,3002,140,814.562039732474,1278.22596034711
2097,290.222222298698,288.596633470734,109.828899214647,113.075577875992,811.25157911666,0.944221414356178,6.01372409342037,0.85742239262903,1.22579001185716,429.768586130798,5.70131006361117,298.014582169518,0.994314202349968,0.14257760737097,1.29820187640307,60.7449381674922,0.537228233153301,46.7915963392366,0.00568579765003241,401.038906873587,0.966462949512535,5.60801811390145,3.39467478280892,1.23915423803125,654.414293470296,4.36966820864573,448.896620273452,0.970471987570952,0.605325217191082,1.2821538980426,99.1887219605951,0.877225057019503,77.3610111173248,0.0295280124290477,615.741596155237,2.60011368145325,0.55,0.55,0.3,0.3,1,4,347.621984077503,133.418556943703,0.915858038571464,0.911534015107904,486.96442088334,0.98111138267766,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,0.201545878867394,19.5513258535587,37.4286552935402,3002,140,814.562039732474,1278.22596034711
2102,306.54854070603,288.681902635352,119.680492147066,113.203956725286,812.749207913339,0.910405453260128,6.70904160165945,0.870282189191359,1.20612120327991,449.76252753124,5.96654969022943,316.964951251946,0.995775396077373,0.129717810808641,1.32481763917476,56.9825276246602,0.503953474312495,43.0116009477012,0.00422460392262713,414.814444904208,0.913103203496341,6.64975181825724,3.47710721928868,1.20766085165319,702.89796920457,4.69340437793214,494.72769859684,0.980136218078367,0.52289278071132,1.32258965583405,89.8474544844693,0.794610887460646,67.9329783717459,0.0198637819216329,648.86072624233,2.58472187524972,0.55,0.55,0.3,0.3,1,4,359.62990839773,140.632687400648,0.911382644022244,0.907349980339434,485.466792086661,0.981380780060395,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,0.340119804313754,17.166693131621,31.8566993571685,3002,140,814.562039732474,1278.22596034711
2107,323.81617648406,288.744931049863,129.976366950129,113.290163135855,814.88795170841,0.87771364608248,7.48697675332227,0.882172412030168,1.18788129725623,470.758812444392,6.2450864058873,336.856040668364,0.99689742252901,0.117827587969832,1.3533813705166,53.4454698821086,0.472671735637368,39.4903247868027,0.00310257747099019,429.721600488607,0.864426111937098,7.83756949070346,3.5473868687304,1.18069271001839,752.982394995276,5.02782910751035,542.08434617676,0.986686929555319,0.452613131269603,1.36586886225888,81.6624384007265,0.722222605216025,59.7879054550472,0.0133130704446809,684.652381024066,2.56265851773744,0.55,0.55,0.3,0.3,1,4,372.635754143251,148.43988966681,0.906930269831035,0.903175798724546,483.32804829159,0.981762240365769,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,0.464047751411108,14.869498802517,26.8331108212742,3002,140,814.562039732474,1278.22596034711
