"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,120.124979789264,246.506398106631,24.8245156001451,75.1125940894952,915.9701,1.61871563587981,0.381644384388694,0.27622475703656,1.90269291002036,86.669070044181,0.383250627735368,45.55074,0.349563574314308,0.72377524296344,1.17543370055001,227.093790946262,1.00420874356437,193.2,0.650436425685692,313.762860990443,2.0997008564004,0.226821986293263,0.739543271403495,2.32567058853324,64.7040163861718,0.286121160459652,27.82166,0.273822637161906,3.26045672859651,1.10761996474118,285.263423725222,1.26143485971293,257.5463,0.726177362838094,349.967440111394,1.39019251009509,0.25,0.25,0.25,0.25,1,4,279.594085428584,77.9639964708158,0.996407072717662,0.98711506255464,382.2459,0.995459492724606,0,9.9,0,0,0,0,0,0,0,0,0,0,0,1,295,0,0
2017,121.174354808678,250.557976249454,25.4670510915012,78.252613484576,901.213567826021,1.62698420260015,0.377775098733804,0.274192137077368,1.9097323360907,87.2625008846023,0.385874778911711,45.6935766523345,0.346249604968479,0.725807862922632,1.17378664958067,230.990611019842,1.02144048192974,196.790968019923,0.653750395031521,318.253111904444,2.12147797973167,0.222189199056934,0.727184299217763,2.34535046815745,66.0955212657512,0.292274395037152,28.181511532337,0.264413133052949,3.27281570078224,1.1055266613958,297.474051602368,1.31543025618567,269.07903896844,0.735586866947051,363.569572868119,1.57947232410096,0.25,0.25,0.25,0.25,1,4,283.59534801805,80.9942115956953,0.991485190237727,0.982655714918207,397.002432173979,0.993993416219511,0,9.9,0,0,0,0,0,0,0,0,-3.00503541619339,0,0,1,295,0,0
2022,122.222648636224,254.697492463885,26.0897481736788,81.4503374812296,885.549170045201,1.63547871185134,0.373861039318247,0.27212434781888,1.91697433913939,87.8485230517712,0.388466168934932,45.826655713717,0.342854455279734,0.72787565218112,1.17211818487653,234.976405169063,1.0390656636576,200.471597660449,0.657145544720267,322.824928220834,2.14419071287158,0.217506970149339,0.714597864265729,2.36591500548196,67.4123195531048,0.29809727706383,28.4931281964511,0.254942950417111,3.28540213573427,1.10340698300733,309.931766815656,1.37051827285883,280.886174900705,0.745057049582889,377.344086368761,1.77284904671971,0.25,0.25,0.25,0.25,1,4,287.669293537585,84.0628288408007,0.986586200860262,0.978185040786613,412.666829954799,0.992233809688245,1,9.9,0,0,0,0,0,0,0,0,-3.18820119385792,0,0,1,295,0,0
2027,123.269427885264,258.927598462209,26.6924053573753,84.7069925251478,868.950313196136,1.64420659242895,0.369902468601363,0.270021024912105,1.92442597118902,88.4266403454845,0.391022603607732,45.9496190912708,0.339376518513945,0.729978975087895,1.17042832698178,239.053934081149,1.05709649650684,204.244829495545,0.660623481486055,327.480574426634,2.16783457812231,0.212788288531735,0.70181511659994,2.38736397687967,68.6543557800742,0.303589561259488,28.7573895078231,0.245430859823046,3.29818488340006,1.10126667457602,322.641608961647,1.4267211948284,292.973188429461,0.754569140176954,391.295964741721,1.96991024796619,0.25,0.25,0.25,0.25,1,4,291.817939871573,87.1709585453369,0.981709921898118,0.973705838139247,429.265686803864,0.990144882736451,1,9.9,0,0,0,0,0,0,0,0,-3.37670385459283,0,0,1,295,0,0
2032,124.314232018908,263.251125220281,27.2748455458564,88.0238098685945,851.388981251723,1.65317598495843,0.365899507006281,0.267881718332444,1.9320949348423,88.9963262875323,0.393541754843468,46.0620876762436,0.335814120500791,0.732118281667556,1.168717034618,243.226144292139,1.07554601005984,208.113800935262,0.664185879499209,332.222470579671,2.19240794645245,0.208044991484702,0.688865043772954,2.40969969159393,69.8216906659841,0.308751516124982,28.9752664655901,0.235896561094337,3.31113495622705,1.09911100052938,335.608611232145,1.48406127886854,305.345512027902,0.764103438905663,405.430301898129,2.17026955285067,0.25,0.25,0.25,0.25,1,4,296.043443533545,90.3197355053556,0.976856160965441,0.969220518578689,446.827018748277,0.987686481314097,1,9.9,0,0,0,0,0,0,0,0,-3.57087162948128,0,0,1,295,0,0
2037,125.356592709564,267.670968592763,27.8369278030035,91.4019694193315,832.836920351035,1.66239506580709,0.361852450160281,0.265706060974295,1.93998900894303,89.5570518913921,0.396021283463736,46.1636903500735,0.332165678030123,0.734293939025705,1.16698434015212,247.496049430433,1.09442753058137,212.081722877422,0.667834321969877,337.053101321825,2.21791014673614,0.20328816909984,0.675775510206892,2.43292528019155,70.9145499174229,0.313584139734844,29.1478536126024,0.226360774703225,3.32422448979311,1.09694492528105,348.837565075392,1.54255971276338,318.008276473878,0.773639225296775,419.752114992815,2.37355347401177,0.25,0.25,0.25,0.25,1,4,300.348018587878,93.5102774175244,0.972024712170046,0.964731147131372,465.379079648965,0.984813226248146,1,9.9,0,0,0,0,0,0,0,0,-3.77073608982611,0,0,1,295,0,0
2042,126.396026242058,272.190141432273,28.3785485739475,94.8426168750816,813.2651786594,1.67187233133921,0.357761645224027,0.263493704128752,1.94811629331968,90.1082750458638,0.39845879225281,46.2540533924262,0.328429647636942,0.736506295871248,1.16523029707609,251.86678406915,1.11375491915378,216.15193554541,0.671570352363058,341.975059115014,2.24434151883514,0.198528157773983,0.662573195252109,2.45704473975694,71.9333205345055,0.318089143403583,29.2763576383316,0.216845007983291,3.33742680474789,1.09477310789678,362.333088369252,1.60223691676883,330.966376279872,0.783154992016709,434.266408903758,2.57940801166809,0.25,0.25,0.25,0.25,1,4,304.733975177389,96.7436992435346,0.967215352080257,0.960239476705968,484.9508213406,0.98147315816346,1,9.9,0,0,0,0,0,0,0,0,-3.97642972863948,0,0,1,295,0,0
2047,127.432034243143,276.81177346719,28.8996429959627,98.3468644684868,792.644135039156,1.68161658135033,0.353627505886012,0.261244326336695,1.95648519715135,90.6494418788508,0.400851831988278,46.3328023185847,0.324604541346354,0.738755673663305,1.16345498661788,256.341603438706,1.13354257040596,220.327908159027,0.675395458653646,346.991045317557,2.2717031853536,0.193774589713593,0.64928368012954,2.48206272328999,72.878551003121,0.322268952535801,29.3620907800912,0.20737136306132,3.35071631987046,1.09259992207285,376.099627463221,1.66311255264236,344.224468504168,0.79262863693868,448.978178466342,2.78749883036793,0.25,0.25,0.25,0.25,1,4,309.203720482475,100.021113707839,0.962427834003999,0.955746970555101,505.571864960843,0.977606019071358,1,9.9,0,0,0,0,0,0,0,0,-4.18808845858256,0,0,1,295,0,0
2052,128.464103633534,281.539117447289,29.4001878127218,101.915790720954,770.94348990793,1.69163693592036,0.349450512468519,0.258957634414676,1.96510445599465,91.1799869323884,0.403197902215021,46.3995624528962,0.320688935846864,0.741042365585325,1.16165851801143,260.923889589667,1.15380543976551,224.613245238648,0.679311064153136,352.103876522055,2.29999673916314,0.189036452838628,0.635931564208431,2.50798425038138,73.7509566005555,0.326126730087656,29.4064672014349,0.197962335801839,3.36406843579157,1.09042948091045,390.141454164469,1.72520551031528,357.786964672601,0.802037664198161,463.892410765024,2.99751156281945,0.25,0.25,0.25,0.25,1,4,313.759764368803,103.343631808178,0.957661880279472,0.951254813974418,527.27251009207,0.973140945986034,1,9.9,0,0,0,0,0,0,0,0,-4.40584723332872,0,0,1,295,0,0
2057,129.491706821376,286.375554122046,29.8802035372811,105.550441504886,748.132264134635,1.70194284505509,0.345231215325799,0.256633366363111,1.97398314274317,91.699333690832,0.405494453580859,46.4539598668511,0.31668148426189,0.743366633636889,1.15984103019586,265.617156328967,1.17455906528669,229.011691614421,0.68331851573811,357.316490019799,2.32922400264335,0.184322132486973,0.622540531603213,2.53481448127667,74.5514215968211,0.329666386301143,29.4109971942693,0.188640593975044,3.37745946839679,1.08826565345368,404.462668649356,1.78853392076745,371.658029788744,0.811359406024956,479.014090246177,3.20915175764481,0.25,0.25,0.25,0.25,1,4,318.404724256643,106.712363954592,0.952917171597738,0.946763914109073,550.083735865365,0.967993332882665,1,9.9,0,0,0,0,0,0,0,0,-4.62984299350885,0,0,1,295,0,0
