"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,133.248878623464,247.7506397076,31.0482727973872,73.8861998837555,915.9701,1.51518380079422,0.233545436273961,0.189328604692022,1.60882811576874,51.2983210619066,0.226841175735751,31.88552,0.0996254941065552,0.810671395307978,1.06180393093263,219.650282533164,2.42823387340413,206.8652,0.900374505893445,270.948603595071,1.78760821952373,0.13093230088419,0.463095096963183,1.85156918883066,36.0596062035474,0.159455578632086,19.47516,0.0528918896605755,3.53690490303682,1.03578019423292,275.406496029136,3.0446188136021,265.8928,0.947108110339425,311.466102232684,1.39019251009509,0.6,0.6,0.35,0.35,1,4,241.442300663568,69.3868609248862,0.995839332152006,0.985522313531316,382.2459,0.995459492724606,0,9.9,0,0,0,0,0,0,0,0,0,0,0,3003,295,1681.90103427283,3111.86015901158
2017,133.959968894559,268.31482838046,31.3323979371078,79.9286806365508,899.259209163876,1.59264380439361,0.196148369482194,0.163983310504453,1.67626608101628,47.4913945391946,0.210006946652318,28.3316563384745,0.0782311263166461,0.836016689495547,1.05250532252848,242.119751821367,2.67663385638521,230.04135621824,0.921768873683354,289.611146360562,1.8728156812235,0.111241636747919,0.40042285338937,1.93011498051916,33.4777332205878,0.148038536301439,17.3449424301049,0.0399667427516887,3.59957714661063,1.03059526886182,300.946068390297,3.32695878605473,292.011886220534,0.960033257248311,334.423801610885,1.60401140389083,0.6,0.6,0.35,0.35,1,4,258.072492521897,74.501262403865,0.991135289940557,0.98157576419606,398.956790836124,0.993785224625963,0,9.9,0,0,0,0,0,0,0,0,-3.49990487497749,0,0,3003,295,1681.90103427283,3111.86015901158
2022,134.601222957025,290.818224901279,31.5458297205652,86.5625396492587,879.903457541491,1.67002612561206,1.03009964485291,0.507413341736506,1.74499691011904,159.152358401364,2.1113151865525,90.2929018978048,0.603573411870939,0.492586658263494,1.04489198303978,152.956886845495,1.69093838407694,146.385357843894,0.396426588129061,286.691221991357,1.93024519582044,0.124654558555847,0.443352343553078,1.98357314641144,42.297283210815,0.280557879537336,20.1509748740717,0.036817570582162,3.55664765644692,1.02762755255471,320.653597407853,3.54482551934381,312.032892277655,0.963182429417838,360.447065688314,1.84075051246272,0.6,0.6,0.35,0.35,1,4,252.702525183974,80.2304286972353,0.98610352222757,0.97760946522439,418.312542458508,0.991549048178772,1,9.9,0.5,2,0,0.01,0,0.05,0.5,0.055,-4.06866068248825,74.8975830467466,15.6858209994224,3003,295,1681.90103427283,3111.86015901158
2027,139.588033263176,301.010684977777,31.7432330000183,93.5426088933201,863.926290025191,1.66786620582861,1.03477620588015,0.508545462095451,1.74306200830666,165.143323367491,2.19079132779313,93.7957969106582,0.609242855270725,0.491454537904549,1.04508503272941,157.997342038567,1.74666061623635,151.181326964306,0.390757144729275,296.787802253609,2.02470880752338,0.105458804461197,0.381592888077263,2.0722762080017,39.1048192741365,0.259382266245347,17.8325910761161,0.0262260788729448,3.61840711192274,1.0234934526395,350.412224023042,3.87380713657473,342.368798861742,0.973773921127055,387.199785784635,2.02805496782104,0.6,0.6,0.35,0.35,1,4,261.59778379089,86.1953449423931,0.981313459478738,0.973568751774491,434.289709974809,0.989467562754781,1,9.9,0.5,2,0,0.01,0,0.05,0.5,0.055,-3.31017921447347,77.358302388274,17.1999321306946,3003,295,1681.90103427283,3111.86015901158
2032,144.814039509245,311.38957196094,31.8898298177167,100.698242601618,846.015917139704,1.66467780743913,1.04172959268293,0.51021917712132,1.74020741190352,171.469970127802,2.27472062371542,97.5488722007209,0.616152867805587,0.48978082287868,1.0453719056786,162.955215651814,1.8014699090308,155.882528281676,0.383847132194413,307.096580452028,2.12065582065153,0.0896821858195602,0.329204925937591,2.16320505719557,36.1354339439647,0.239686333350318,15.7858289779134,0.0185294811822844,3.67079507406241,1.02006418775253,380.7666457389,4.20937526864354,373.27714305688,0.981470518817716,414.758890787744,2.23000035691052,0.6,0.6,0.35,0.35,1,4,270.677677720628,92.3395635775699,0.976539026096455,0.969452123488163,452.200082860296,0.986883519035929,1,9.9,0.5,2,0,0.01,0,0.05,0.5,0.055,-3.69930705320766,79.7743966126275,18.7420036608875,3003,295,1681.90103427283,3111.86015901158
2037,150.304738376511,321.910577455859,31.9979726626113,108.012686070625,826.134868385866,1.66023872505212,1.05151089598572,0.512554380307342,1.73623634517881,178.177308945782,2.36370018047475,101.596500007698,0.624613230406116,0.487445619692658,1.04577511593961,167.754358542301,1.85452443368513,160.411503377163,0.375386769593884,317.583349874224,2.21762720128278,0.0766905682647698,0.284912194924738,2.25581138148624,33.4056580606673,0.221579729916406,13.9942315773457,0.0130089942914576,3.71508780507526,1.0172184847757,411.63271549042,4.55059966974659,404.664997393541,0.986991005708542,443.05561598318,2.44500414267105,0.6,0.6,0.35,0.35,1,4,279.911391284772,98.6477342758668,0.971779981918583,0.965271404300743,472.081131614134,0.98370532996841,1,9.9,0.5,2,0,0.01,0,0.05,0.5,0.055,-4.09544481275932,82.1073440613918,20.3076926755945,3003,295,1681.90103427283,3111.86015901158
2042,156.091526276626,332.513775905546,32.0773383189508,115.471963521247,804.253749882577,1.65427583413471,1.06483649263958,0.515700151772477,1.73090818755536,185.320773958708,2.45846538733622,105.994972776829,0.635000067924818,0.484299848227524,1.04632380636856,172.296467567833,1.9047374489624,164.668400469465,0.364999932075182,328.201906338091,2.31525541327241,0.0659562061555065,0.247500622538275,2.34964183544481,30.9155796005049,0.205063039490149,12.4339047261416,0.00908741345582445,3.75249937746172,1.01485210745012,442.948805357235,4.89679904322423,436.466360078979,0.990912586544176,472.028277036431,2.6714118076663,0.6,0.6,0.35,0.35,1,4,289.257388735851,105.106111378633,0.967036003340919,0.961036844959506,493.962250117422,0.979827565967512,1,9.9,0.5,2,0,0.01,0,0.05,0.5,0.055,-4.49697448977276,84.3074425361849,21.8939170573478,3003,295,1681.90103427283,3111.86015901158
2047,162.213311581602,343.119814211301,32.1353540208865,123.063382650738,780.351505018639,1.64645683860823,1.08264092465061,0.519840416000773,1.72393217425832,192.968470111912,2.55991972450462,110.815720167751,0.647757285141453,0.480159583999227,1.04705579510701,176.45627563215,1.95072412711342,168.526143933061,0.352242714858547,338.891631479722,2.41323800275476,0.0570494288061234,0.215881782824697,2.44431590963119,28.6554565663088,0.190071643404326,11.0785215398969,0.00632212591584168,3.7841182171753,1.01287809442788,474.665689418002,5.24742919651601,468.630620041314,0.993677874084158,501.618373604075,2.90754513778427,0.6,0.6,0.35,0.35,1,4,298.661276668194,111.701675201596,0.962306665856974,0.9567571497625,517.864494981361,0.975127362377825,1,9.9,0.5,2,0,0.01,0,0.05,0.5,0.055,-4.90218893928775,86.3113820024533,23.4982953993281,3003,295,1681.90103427283,3111.86015901158
2052,168.718354022873,353.626090756736,32.1776341340178,130.774042651817,754.416462956919,1.63638516716958,1.10614305248388,0.525198443277321,1.71496450891901,201.203220315225,2.66916192070177,116.148869015154,0.663383293794551,0.474801556722679,1.0480200770124,180.07724015875,1.99075388995498,171.826135881002,0.336616706205449,349.5755663409,2.51131205642828,0.0496248789149396,0.189114720551364,2.53950205325583,26.6103586513607,0.176506508934476,9.90225185811361,0.00438366447702023,3.81088527944864,1.01122520666255,506.737537206673,5.60198347381978,501.112446434275,0.99561633552298,531.765945550335,3.15173645415817,0.6,0.6,0.35,0.35,1,4,308.054124195284,118.421089922849,0.957591425198178,0.952439550245718,543.799537043081,0.969459119724251,1,9.9,0.5,2,0,0.01,0,0.05,0.5,0.055,-5.30913464786267,88.040068491984,25.1186586142132,3003,295,1681.90103427283,3111.86015901158
2057,175.66624772149,363.903577411842,32.2083798249368,138.589361668353,726.44805490791,1.62360086637714,1.13692863630574,0.532038654445302,1.703611673198,210.123879527703,2.7875033858145,122.106841603127,0.682390974864922,0.467961345554698,1.04927984979424,182.968951691076,2.02272176094484,174.375741349608,0.317609025135078,360.159784732579,2.60923008321051,0.0434068755273861,0.166404406739016,2.63489371440454,24.763228996941,0.16425449793671,8.88128855983009,0.00303153503592181,3.83359559326098,1.00983571029599,539.113933398524,5.95990453372068,533.863011479865,0.996968464964078,562.404468100525,3.40235134365662,0.6,0.6,0.35,0.35,1,4,317.351975412854,125.249561278915,0.952889596876663,0.948089886581184,571.76794509209,0.962646623933169,1,9.9,0.5,2,0,0.01,0,0.05,0.5,0.055,-5.71546195421911,89.3973153501891,26.7526258105368,3003,295,1681.90103427283,3111.86015901158
