"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,126.717711941139,247.891424615767,27.5314250880449,74.7262421272855,915.9701,1.56766838888442,0.324985883752872,0.245274978200059,1.75444073238355,71.9244732993543,0.318050020929745,40.99567,0.240500606150129,0.754725021799941,1.11914021155458,221.315684449998,1.46798693495684,197.7551,0.759499393849871,293.240157749352,1.9522785471146,0.187778361407569,0.632368352577307,2.09139442343652,52.3674497516944,0.231568862801993,25.03949,0.165448314469863,3.36763164742269,1.07125821083653,278.879043139757,1.84980469314601,260.3285,0.834551685530137,331.246492891451,1.39019251009509,0.5,0.5,0.25,0.25,1,4,261.306304570448,73.793437453893,0.996155618138766,0.986386848855708,382.2459,0.995459492724606,0,9.9,0,0,0,0,0,0,0,0,0,0,0,3001,115,823.864681469603,757.613860713055
2017,128.224280335218,255.092705757173,28.3244623171364,78.4024577340601,900.702372949544,1.58543195010009,0.315959185101123,0.240098012672668,1.76947558167896,72.1566081147024,0.319076521083214,40.7785271872681,0.232236967631133,0.759901987327332,1.11608422018192,228.373193492092,1.51479939243305,204.620036160772,0.767763032368867,300.529801606795,1.9781196711186,0.181705718638933,0.615062500833855,2.11473667253402,53.2767940721769,0.235589983387166,25.193110217518,0.153263570426584,3.38493749916614,1.06906407302353,293.203727825667,1.94482032666765,274.262072053761,0.846736429573416,346.480521897844,1.58590257359414,0.5,0.5,0.25,0.25,1,4,267.802106211815,77.1871982657923,0.991276823261309,0.98204542773539,397.513627050456,0.993939274635284,0,9.9,0,0,0,0,0,0,0,0,-3.12455705746396,0,0,3001,115,823.864681469603,757.613860713055
2022,129.780408771276,262.455296185466,29.1382644212748,82.1406826212967,884.421253513925,1.51923585560604,1.45296918089763,0.59233079331471,1.7137711809368,218.928182617173,2.90430127059942,108.584481577567,0.88642973360511,0.40766920668529,1.12804813986776,128.074950020367,0.849521143485096,113.536776928138,0.11357026639489,293.06994231943,1.89789265910209,0.83299096664259,1.81777429742241,2.04251018529628,196.010895745838,3.46704072395239,81.5708350359068,0.894763815555122,2.18222570257759,1.0761990018248,200.013287125416,1.32668813350289,185.851582083123,0.105236184444878,344.918731184953,1.78648854877596,0.5,0.5,0.25,0.25,1,4,255.281301175202,75.4479244175683,0.986145605385146,0.976827917655852,413.794746486075,0.992099135691737,1,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-3.37109897316403,58.5250823000658,94.2045250377356,3001,115,823.864681469603,757.613860713055
2027,135.709714599162,263.5057129211,33.8069481593598,82.4929351522795,877.957549593824,1.47838736181255,1.55542402772767,0.608675511715675,1.6798594929202,228.33366577709,3.02907441019888,115.535624692717,0.900376777963767,0.391324488284325,1.13627830994215,124.778589279005,0.827656382687638,109.813404152154,0.0996232220362329,297.322432568886,1.72295317186566,1.06080540015074,2.05901129737557,1.88780516366375,229.026616321806,4.05102278950011,103.121141747343,0.944473882678157,1.94098870262443,1.09567990267523,183.513982720933,1.21724824738795,167.48868193426,0.055526117321843,354.148094930984,1.86394192424253,0.5,0.5,0.25,0.25,1,4,258.868507993278,77.3056059238075,0.981280469875726,0.972264392525031,420.258450406176,0.991306868985884,1,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-1.22953714060642,56.640081268901,84.9775744907247,3001,115,823.864681469603,757.613860713055
2032,142.005286077525,264.427060854382,38.727290551205,82.6773322701823,872.532935204181,1.43750437317127,1.66838574410147,0.625241589522608,1.64630197095107,238.14735439088,3.15926280334941,122.957546552232,0.913289733205477,0.374758410477392,1.14525006092272,121.330005334747,0.804781925385377,105.941933097993,0.0867102667945228,301.795945719671,1.57538136522973,1.32695179624153,2.28101295159583,1.76096131679087,261.987470641549,4.63403438070772,126.458967566159,0.971276144025159,1.71898704840417,1.11780001697181,167.820225780668,1.11315155760317,150.134391870295,0.0287238559748407,364.584491517169,1.92803017782228,0.5,0.5,0.25,0.25,1,4,262.64886124555,79.4446083441973,0.976441101418661,0.967753315762588,425.683064795819,0.990615122452284,1,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-1.02385483389411,54.6686904311656,76.1550217718736,3001,115,823.864681469603,757.613860713055
2037,148.684828973621,265.22858655867,43.820265512768,82.7732752377075,868.092581614354,1.39673882888502,1.79279812903015,0.641936168029707,1.61324842832659,248.37349968519,3.29492284682374,130.864825916119,0.925105669038887,0.358063831970294,1.15501079726867,117.758642935789,0.78109307859309,101.954581908897,0.0748943309611126,306.527987740378,1.45135076500875,1.62887756338476,2.47843807725687,1.65762286267838,294.298875932417,5.20555851749259,150.911314132309,0.985034054759044,1.52156192274314,1.14212422154777,153.574492132326,1.01865960631372,134.463913149663,0.0149659452409555,376.376049777205,1.97988508141768,0.5,0.5,0.25,0.25,1,4,266.656197408953,81.9006599987386,0.97162766308747,0.963293581049995,430.123418385646,0.990030723884126,1,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.831247915337668,52.6255251193212,68.0757050396874,3001,115,823.864681469603,757.613860713055
2042,155.766185886427,265.920291256881,49.0501571350997,82.8238149176557,864.56043313201,1.35623422921454,1.92966826235603,0.658664425303976,1.58083734205477,259.017332806085,3.43612393700553,139.270959148145,0.935796147216451,0.341335574696024,1.16560790754434,114.09460225892,0.756789496783414,97.8842040453293,0.0642038527835489,311.557213807539,1.346304135736,1.96544754186709,2.65113108779475,1.57296034310104,325.855540391711,5.76373279844859,176.086581297341,0.992068807277453,1.34886891220525,1.16835438690911,140.923226610179,0.934743762105317,120.616850665483,0.00793119272254716,389.532127473245,2.0207530160442,0.5,0.5,0.25,0.25,1,4,270.92532407896,84.6749799366848,0.966840248058743,0.958878096014222,433.655566867989,0.989554205800948,1,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.654378285157727,50.5255037067354,60.8159634539544,3001,115,823.864681469603,757.613860713055
2047,163.267461290825,266.512559676812,54.4065108714689,82.850903105992,861.858205123443,1.31612255746189,2.08007299123043,0.675332369444751,1.54919298420936,270.085754132319,3.58295761431934,148.188697826846,0.945364597433528,0.324667630555249,1.17708869544562,110.367709200758,0.73206901512863,93.7632904196534,0.0546354025664724,316.922965172529,1.256265156491,2.33677081877264,2.80123621991176,1.50287517118172,356.787425186823,6.31085597670453,201.792748475801,0.995722143453082,1.19876378008824,1.19630411097252,129.781367078218,0.86083980782982,108.485263811987,0.0042778565469177,404.012859254575,2.05179442435492,0.5,0.5,0.25,0.25,1,4,275.491583015556,87.7563794442281,0.962078884774624,0.954498531167014,436.357794876557,0.9891826930712,1,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.492963924125253,48.3833653970815,54.3294189661539,3001,115,823.864681469603,757.613860713055
2052,171.207168526027,267.015821072743,59.8919611081428,82.8656568434431,859.913347158588,1.27652207323186,2.24516665999287,0.691849416448092,1.51842347276862,281.587969054111,3.73554599747183,157.630448941609,0.953841828901527,0.308150583551908,1.1895003655709,106.606684466245,0.707122138064605,89.6230783544818,0.0461581710984726,322.664883275995,1.17810037570772,2.74387087880992,2.93158708473635,1.44418843244325,387.311855572569,6.8507721013676,227.958533554879,0.997659229436069,1.06841291526365,1.225861957285,119.981985952441,0.795840512822541,97.8756092718412,0.00234077056393056,419.772266739156,2.0740169322324,0.5,0.5,0.25,0.25,1,4,280.390485507628,91.1319918492705,0.957343539184356,0.950147381295091,438.302652841412,0.988911577092428,1,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.345603369795611,46.2132387603092,48.5261747394169,3001,115,823.864681469603,757.613860713055
2057,179.60438784536,267.440262281284,65.5157815806827,82.8737889830385,858.661388718984,1.23753600429097,2.42618994946029,0.70813060141119,1.48861974258541,293.536034328571,3.89404903140282,167.608706267692,0.961280449744961,0.29186939858881,1.2028900471775,102.838456335535,0.682127480873602,85.4928150555727,0.0387195502550395,328.822619394974,1.10942001219891,3.18844858112631,3.04499245424081,1.39450229570783,417.665043981167,7.38765929793888,254.582074534192,0.998706505084697,0.95500754575919,1.25696515330012,111.344209684129,0.738546142834828,88.5817792098678,0.00129349491530306,436.774682555183,2.08827006237926,0.5,0.5,0.25,0.25,1,4,285.657437361653,94.7913937077581,0.952634116266085,0.945818570225266,439.554611281016,0.988735401728234,1,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.210636451108036,44.0282843594083,43.308801875178,3001,115,823.864681469603,757.613860713055
2062,188.478926640736,267.795601551822,71.2906862592502,82.878304141335,858.045927173272,1.19925206265587,2.62447972131434,0.72409833220494,1.45985534229785,305.945293456866,4.05867026299878,178.136485104754,0.967748945295429,0.27590166779506,1.21730484170679,99.0876390952265,0.657248310118638,81.3991990340685,0.0322510547045707,335.435644675876,1.04841118622442,3.67274090103075,3.14397136825677,1.35201332985035,448.074526867429,7.92554223123108,281.700882253485,0.999281553004497,0.856028631743234,1.28958308306426,103.700031693068,0.687842310220118,80.413610456691,0.000718446995502831,454.99939030465,2.09526201002087,0.5,0.5,0.25,0.25,1,4,291.327558320953,98.7277852193531,0.947950462330502,0.941507447946211,440.170072826728,0.988648320247604,1,9.9,0.5,2,0,0.15,0,0.5,3,0.15,-0.0864876163555145,41.8404230036629,38.5865617767311,3001,115,823.864681469603,757.613860713055
2067,197.851474719728,268.090925396983,77.2312749033124,82.880818111073,858.01776392537,1.16174265746169,2.84147975385892,0.73968364690834,1.4321869144435,318.834692632543,4.22966103246331,189.227736969631,0.973326027427885,0.26031635309166,1.23279187972033,95.376181501773,0.63263021190126,77.3660040033761,0.026673972572115,342.543156432949,0.993690180956901,4.19944512556459,3.23068713999253,1.31535486406475,478.750253081153,8.46813447649943,309.374851027995,0.999600692207055,0.769312860007472,1.32370721707051,96.902734278322,0.64275583646811,73.2055646661633,0.000399307792945169,474.440701597049,2.09558172448819,0.5,0.5,0.25,0.25,1,4,297.435592239722,102.9380228184,0.943292368723456,0.937210583499199,440.19823607463,0.988644327965401,1,9.9,0.5,2,0,0.15,0,0.5,3,0.15,0.0282211450715821,39.6601520250917,34.2798808977058,3001,115,823.864681469603,757.613860713055
2072,207.743750291943,268.334584161164,83.353274871204,82.8822156004371,858.533846194219,1.12506564391768,3.07875230188417,0.754826984826205,1.40565518969333,332.226980844244,4.40732312787974,200.89772782699,0.978095673432643,0.245173015173795,1.24939837714588,91.7231742042988,0.608399814497114,73.413873334645,0.0219043265673574,350.184069605285,0.944189494905409,4.77168203445789,3.30696112916142,1.28347907912609,509.883506793955,9.01881946817148,337.676700636181,0.999778830331874,0.693038870838578,1.35934479895338,90.827716022386,0.602460240376486,66.81727556711,0.000221169668125576,495.106520351173,2.08971981240288,0.5,0.5,0.25,0.25,1,4,304.015897720499,107.422267046618,0.938659576997202,0.932925519842971,439.682153805781,0.98871738142611,1,9.9,0.5,2,0,0.15,0,0.5,3,0.15,0.134654521039118,37.4964439514722,30.3207963265851,3001,115,823.864681469603,757.613860713055
2077,218.178634712587,268.534137843255,89.6731715869978,82.8829883272365,859.556267245504,1.08926544313143,3.33799046647557,0.769478515979207,1.38028632725863,346.148806337884,4.59201006487837,213.163370220121,0.982143075570038,0.230521484020793,1.26717168525109,88.1447950023241,0.584664425250416,69.5602624555635,0.0178569244299622,358.397078477641,0.899075511808536,5.39298216955379,3.37431391267603,1.25557217900134,541.648820041952,9.58068432890204,366.686602917448,0.999878372023514,0.625686087323967,1.3965147115126,85.3704838178154,0.566262419163569,61.1311023894253,0.000121627976485517,517.01659367002,2.07808631395009,0.5,0.5,0.25,0.25,1,4,311.102505291693,112.183547869923,0.934051785318152,0.928650551132507,438.659732754496,0.98886146062822,1,9.9,0.5,2,0,0.15,0,0.5,3,0.15,0.233788651029606,35.3567167063805,26.6518951868459,3001,115,823.864681469603,757.613860713055
